stationSheet,day,weekday,depot,arrivalTrainNumber,arrivalRoute,arrivalAstanaStop,arrivalAstanaTime,arrivalBindingTime,departureTrainNumber,departureRoute,departureAstanaStop,departureAstanaTime,departureBindingTime,dwellMinutes,dwellHours,matchType
Алматы,21,вс,ТЧЭ,106,Петропавловск - Алматы 2,Астана-1,04:24,22:58,105,,,,23:05,2887,48.12,arrival_only
Алматы,23,вт,ТЧЭ,106,Петропавловск - Алматы 2,Астана-1,04:24,22:58,105,,,,23:05,2887,48.12,arrival_only
Алматы,27,сб,ТЧЭ,106,Петропавловск - Алматы 2,Астана-1,04:24,22:58,105,,,,23:05,2887,48.12,arrival_only
Алматы,29,пн,ТЧЭ,106,Петропавловск - Алматы 2,Астана-1,04:24,22:58,105,,,,23:05,2887,48.12,arrival_only
Тобол,18,чт,ТЧЭ,081,Нурлы жол - Орал,Нурлы жол,23:55,09:57,082,Орал - Нурлы жол,Астана-1,15:02,05:24,2607,43.45,paired
Тобол,20,сб,ТЧЭ,081,Нурлы жол - Орал,Нурлы жол,23:55,09:57,082,Орал - Нурлы жол,Астана-1,15:02,05:24,2607,43.45,paired
Тобол,22,пн,ТЧЭ,081,Нурлы жол - Орал,Нурлы жол,23:55,09:57,082,Орал - Нурлы жол,Астана-1,15:02,05:24,2607,43.45,paired
Тобол,24,ср,ТЧЭ,081,Нурлы жол - Орал,Нурлы жол,23:55,09:57,082,Орал - Нурлы жол,Астана-1,15:02,05:24,2607,43.45,paired
Тобол,26,пт,ТЧЭ,081,Нурлы жол - Орал,Нурлы жол,23:55,09:57,082,Орал - Нурлы жол,Астана-1,15:02,05:24,2607,43.45,paired
Тобол,28,вс,ТЧЭ,081,Нурлы жол - Орал,Нурлы жол,23:55,09:57,082,Орал - Нурлы жол,Астана-1,15:02,05:24,2607,43.45,paired
Тобол,30,вт,ТЧЭ,081,Нурлы жол - Орал,Нурлы жол,23:55,09:57,082,Орал - Нурлы жол,Астана-1,15:02,05:24,2607,43.45,paired
Жана-Есиль,15,пн,ТЧЭ,,,,,,048,Нурлы жол - Атырау,Нурлы жол,23:49,03:59,1414,23.57,departure_only
Жана-Есиль,19,пт,ТЧЭ,,,,,,048,Нурлы жол - Атырау,Нурлы жол,23:49,03:59,1414,23.57,departure_only
Жана-Есиль,21,вс,ТЧЭ,,,,,,048,Нурлы жол - Атырау,Нурлы жол,23:49,03:59,1414,23.57,departure_only
Жана-Есиль,23,вт,ТЧЭ,,,,,,048,Нурлы жол - Атырау,Нурлы жол,23:49,03:59,1414,23.57,departure_only
Жана-Есиль,25,чт,ТЧЭ,,,,,,048,Нурлы жол - Атырау,Нурлы жол,23:49,03:59,1414,23.57,departure_only
Жана-Есиль,27,сб,ТЧЭ,,,,,,048,Нурлы жол - Атырау,Нурлы жол,23:49,03:59,1414,23.57,departure_only
Жана-Есиль,29,пн,ТЧЭ,,,,,,048,Нурлы жол - Атырау,Нурлы жол,23:49,03:59,1414,23.57,departure_only
Жана-Есиль,31,ср,ТЧЭ,,,,,,048,Нурлы жол - Атырау,Нурлы жол,23:49,03:59,1414,23.57,departure_only
Жана-Есиль,2,пн,ТЧЭ,,,,,,048,Нурлы жол - Атырау,Нурлы жол,23:49,03:59,1414,23.57,departure_only
Есиль,13,сб,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,14,вс,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,15,пн,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,16,вт,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,17,ср,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,18,чт,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,19,пт,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,20,сб,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,21,вс,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,22,пн,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,23,вт,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,24,ср,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,25,чт,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,26,пт,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,27,сб,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,28,вс,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,29,пн,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,30,вт,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,31,ср,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Есиль,1,вс,ТЧЭ,655,Нурлы жол - Аркалык,Нурлы жол,19:18,03:42,656,Аркалык - Нурлы жол,Астана-1,08:01,23:53,1211,20.18,paired
Павлодар,13,сб,ТЧЭ,354,Нурлы жол - Семей,Нурлы жол,17:55,02:45,045,Павлодар - Туркестан,Сороковая,11:48,21:25,1124,18.73,paired
Павлодар,14,вс,ТЧЭ,038,,,,02:45,045,Павлодар - Туркестан,Сороковая,11:48,21:25,1124,18.73,departure_only
Павлодар,15,пн,ТЧЭ,354,Нурлы жол - Семей,Нурлы жол,17:55,02:45,045,Павлодар - Туркестан,Сороковая,11:48,21:25,1124,18.73,paired
Павлодар,16,вт,ТЧЭ,038,,,,02:45,045,Павлодар - Туркестан,Сороковая,11:48,21:25,1124,18.73,departure_only
Павлодар,17,ср,ТЧЭ,354,Нурлы жол - Семей,Нурлы жол,17:55,02:45,045,Павлодар - Туркестан,Сороковая,11:48,21:25,1124,18.73,paired
Павлодар,18,чт,ТЧЭ,038,,,,02:45,045,Павлодар - Туркестан,Сороковая,11:48,21:25,1124,18.73,departure_only
Павлодар,19,пт,ТЧЭ,354,Нурлы жол - Семей,Нурлы жол,17:55,02:45,045,Павлодар - Туркестан,Сороковая,11:48,21:25,1124,18.73,paired
